Serial No.,Question,Answer,Difficulty
1,অর্থনীতি কী?,"অর্থনীতি হলো সম্পদ উৎপাদন, বন্টন এবং ভোগের সাথে সম্পর্কিত সামাজিক বিজ্ঞান।",Easy
2,চাহিদা কী?,"একটি নির্দিষ্ট সময়ে ক্রেতারা কোনো পণ্যের বিভিন্ন দামে যে পরিমাণ ক্রয় করতে ইচ্ছুক থাকে, তাকে চাহিদা বলে।",Easy
3,যোগান কী?,"একটি নির্দিষ্ট সময়ে বিক্রেতারা কোনো পণ্যের বিভিন্ন দামে যে পরিমাণ বিক্রয় করতে ইচ্ছুক থাকে, তাকে যোগান বলে।",Easy
4,মুদ্রাস্ফীতি কী?,"যখন পণ্যের দাম ক্রমাগত বাড়তে থাকে এবং টাকার মান কমতে থাকে, সেই অবস্থাকে মুদ্রাস্ফীতি বলে।",Easy
5,বাজার কী?,বাজার এমন একটি প্রক্রিয়া যেখানে ক্রেতা এবং বিক্রেতা মিলিত হয়ে পণ্য বা সেবা বিনিময় করে।,Easy
6,বাজেট কী?,একটি নির্দিষ্ট সময়ের জন্য সরকারের সম্ভাব্য আয় এবং ব্যয়ের বিস্তারিত হিসাবকে বাজেট বলে।,Easy
7,রপ্তানি কী?,দেশের পণ্য বিদেশে বিক্রয় করাকে রপ্তানি বলে।,Easy
8,আমদানি কী?,বিদেশ থেকে পণ্য দেশে কিনে আনাকে আমদানি বলে।,Easy
9,ব্যাংক কী?,ব্যাংক একটি আর্থিক প্রতিষ্ঠান যা জনগণের কাছ থেকে আমানত সংগ্রহ করে এবং ঋণ প্রদান করে।,Easy
10,কেন্দ্রীয় ব্যাংক কী?,"কেন্দ্রীয় ব্যাংক হলো দেশের প্রধান আর্থিক প্রতিষ্ঠান যা মুদ্রা ছাপানো, মুদ্রানীতি নিয়ন্ত্রণ এবং অন্যান্য ব্যাংকগুলোকে পরিচালনা করে।",Easy
11,বাংলাদেশের মুদ্রার নাম কী?,বাংলাদেশের মুদ্রার নাম টাকা।,Easy
12,কর বা ট্যাক্স কী?,"কর হলো সরকারের আয়ের প্রধান উৎস, যা জনগণের আয় বা পণ্যের ওপর আরোপ করা হয়।",Easy
13,জিডিপি (GDP) এর পূর্ণরূপ কী?,জিডিপি-র পূর্ণরূপ হলো মোট দেশজ উৎপাদন (Gross Domestic Product)।,Easy
14,বিনিয়োগ কী?,মুনাফা অর্জনের আশায় কোনো প্রকল্পে বা সম্পদে টাকা খাটানোকে বিনিয়োগ বলে।,Easy
15,সঞ্চয় কী?,"আয়ের যে অংশ ভোগ বা ব্যয় না করে ভবিষ্যতের জন্য রেখে দেওয়া হয়, তাকে সঞ্চয় বলে।",Easy
16,ঋণ কী?,ভবিষ্যতে পরিশোধ করার শর্তে কোনো ব্যক্তি বা প্রতিষ্ঠানের কাছ থেকে অর্থ ধার করাকে ঋণ বলে।,Easy
17,শেয়ার বাজার কী?,"যেখানে বিভিন্ন কোম্পানির শেয়ার কেনাবেচা হয়, তাকে শেয়ার বাজার বলে।",Easy
18,উপযোগ কী?,কোনো পণ্যের মানুষের অভাব পূরণের ক্ষমতাকে উপযোগ বলে।,Easy
19,মূলধন কী?,"উৎপাদন কাজে ব্যবহৃত মানুষের তৈরি সম্পদকে মূলধন বলে, যেমন যন্ত্রপাতি, কারখানা।",Easy
20,শ্রম কী?,অর্থ উপার্জনের উদ্দেশ্যে নিয়োজিত মানুষের শারীরিক ও মানসিক কর্মপ্রচেষ্টাকে শ্রম বলে।,Easy
21,উদ্যোক্তা কে?,"যিনি ঝুঁকি নিয়ে উৎপাদনের সমস্ত উপকরণ একত্রিত করে নতুন ব্যবসা শুরু করেন, তাকে উদ্যোক্তা বলে।",Easy
22,ভূমি কী?,সাধারণ অর্থে ভূমি বলতে জমি বোঝালেও অর্থনীতিতে প্রকৃতি থেকে পাওয়া সমস্ত সম্পদই ভূমি।,Easy
23,ঘাটতি বাজেট কী?,"যখন সরকারের ব্যয় তার আয়ের চেয়ে বেশি হয়, তখন তাকে ঘাটতি বাজেট বলে।",Easy
24,উদ্বৃত্ত বাজেট কী?,"যখন সরকারের আয় তার ব্যয়ের চেয়ে বেশি হয়, তখন তাকে উদ্বৃত্ত বাজেট বলে।",Easy
25,বৈদেশিক মুদ্রা কী?,"অন্য দেশের টাকাকে বৈদেশিক মুদ্রা বলে, যেমন মার্কিন ডলার, ইউরো।",Easy
26,বিনিময় হার কী?,"এক দেশের মুদ্রার সাথে অন্য দেশের মুদ্রার যে হারে বিনিময় হয়, তাকে বিনিময় হার বলে।",Easy
27,অর্থনৈতিক প্রবৃদ্ধি কী?,একটি দেশের মোট দেশজ উৎপাদন (GDP) বা জাতীয় আয় বৃদ্ধি পাওয়াকে অর্থনৈতিক প্রবৃদ্ধি বলে।,Easy
28,দারিদ্র্য কী?,"মানুষের জীবনধারণের জন্য প্রয়োজনীয় মৌলিক চাহিদাগুলো (খাদ্য, বস্ত্র, বাসস্থান) পূরণ করতে না পারার অবস্থাকে দারিদ্র্য বলে।",Easy
29,বেকারত্ব কী?,"যখন কোনো কর্মক্ষম ব্যক্তি প্রচলিত মজুরিতে কাজ করতে ইচ্ছুক থাকা সত্ত্বেও কাজ পায় না, সেই অবস্থাকে বেকারত্ব বলে।",Easy
30,পরিষেবা খাত কী?,"অর্থনীতির যে খাত কোনো দৃশ্যমান পণ্য উৎপাদন না করে সেবা প্রদান করে, তাকে পরিষেবা খাত বলে। যেমন - শিক্ষা, স্বাস্থ্য, পরিবহন।",Easy
31,কৃষি খাত কী?,"অর্থনীতির যে খাত ফসল উৎপাদন, মৎস্য ও পশু পালনের সাথে জড়িত, তাকে কৃষি খাত বলে।",Easy
32,শিল্প খাত কী?,"অর্থনীতির যে খাত কাঁচামাল ব্যবহার করে নতুন পণ্য তৈরি করে, তাকে শিল্প খাত বলে।",Easy
33,চাহিদা বিধি কী?,"অন্যান্য অবস্থা অপরিবর্তিত থাকলে, কোনো পণ্যের দাম বাড়লে তার চাহিদা কমে এবং দাম কমলে চাহিদা বাড়ে।",Easy
34,যোগান বিধি কী?,"অন্যান্য অবস্থা অপরিবর্তিত থাকলে, কোনো পণ্যের দাম বাড়লে তার যোগান বাড়ে এবং দাম কমলে যোগান কমে।",Easy
35,রেমিট্যান্স কী?,প্রবাসে কর্মরত নাগরিকরা তাদের উপার্জিত অর্থ নিজ দেশে পাঠালে তাকে রেমিট্যান্স বলে।,Easy
36,ভোক্তা কে?,"যে ব্যক্তি তার অভাব পূরণের জন্য কোনো পণ্য বা সেবা ভোগ বা ব্যবহার করে, তাকে ভোক্তা বলে।",Easy
37,উৎপাদক কে?,"যে ব্যক্তি বা প্রতিষ্ঠান কোনো পণ্য বা সেবা উৎপাদন করে, তাকে উৎপাদক বলে।",Easy
38,মানব সম্পদ কী?,একটি দেশের মোট কর্মক্ষম এবং দক্ষ জনসংখ্যাকে মানব সম্পদ বলে।,Easy
39,একচেটিয়া বাজার কী?,"যে বাজারে একজন মাত্র বিক্রেতা এবং অসংখ্য ক্রেতা থাকে, তাকে একচেটিয়া বাজার বলে।",Easy
40,ব্যক্তিগত আয় কী?,"একটি নির্দিষ্ট সময়ে একজন ব্যক্তি সকল উৎস থেকে যে পরিমাণ অর্থ আয় করে, তাকে ব্যক্তিগত আয় বলে।",Easy
41,জাতীয় আয় কী?,একটি নির্দিষ্ট সময়ে একটি দেশের সকল নাগরিকের মোট আয়কে জাতীয় আয় বলে।,Easy
42,ভর্তুকি কী?,"সরকার যখন কোনো পণ্যের উৎপাদন বা ব্যবহার উৎসাহিত করার জন্য আর্থিক সহায়তা প্রদান করে, তাকে ভর্তুকি বলে।",Easy
43,বীমা কী?,"ভবিষ্যতের কোনো সম্ভাব্য ক্ষতির ঝুঁকি মোকাবেলার জন্য নির্দিষ্ট প্রিমিয়ামের বিনিময়ে যে আর্থিক চুক্তি করা হয়, তাকে বীমা বলে।",Easy
44,ধনতান্ত্রিক অর্থনীতি কী?,"যে অর্থনৈতিক ব্যবস্থায় উৎপাদনের উপকরণের মালিকানা ব্যক্তিগত এবং মুনাফা অর্জনই মূল উদ্দেশ্য, তাকে ধনতান্ত্রিক অর্থনীতি বলে।",Easy
45,সমাজতান্ত্রিক অর্থনীতি কী?,"যে অর্থনৈতিক ব্যবস্থায় উৎপাদনের উপকরণের মালিকানা রাষ্ট্রীয় এবং সামাজিক কল্যাণই মূল উদ্দেশ্য, তাকে সমাজতান্ত্রিক অর্থনীতি বলে।",Easy
46,মিশ্র অর্থনীতি কী?,"যেখানে ধনতান্ত্রিক ও সমাজতান্ত্রিক উভয় ব্যবস্থার সমন্বয় দেখা যায়, তাকে মিশ্র অর্থনীতি বলে। বাংলাদেশ একটি মিশ্র অর্থনীতির দেশ।",Easy
47,জিডিপি ও জিএনপি (GNP) এর মধ্যে মূল পার্থক্য কী?,"জিডিপি দেশের ভৌগোলিক সীমার মধ্যে উৎপাদন পরিমাপ করে, আর জিএনপি দেশের নাগরিকদের দ্বারা উৎপাদন পরিমাপ করে, তা দেশে হোক বা বিদেশে।",Easy
48,বাংলাদেশের প্রধান রপ্তানি পণ্য কী?,তৈরি পোশাক বা রেডিমেড গার্মেন্টস (RMG)।,Easy
49,বার্ষিক উন্নয়ন কর্মসূচি (ADP) কী?,সরকারের এক বছরের উন্নয়নমূলক কাজের পরিকল্পনা ও ব্যয়ের হিসাবকে বার্ষিক উন্নয়ন কর্মসূচি বলে।,Easy
50,বাংলাদেশ ব্যাংকের প্রধান কাজ কী?,"মুদ্রা ছাপানো, ঋণ নিয়ন্ত্রণ এবং দেশের আর্থিক স্থিতিশীলতা বজায় রাখা।",Easy
51,স্থিতিস্থাপকতা (Elasticity) বলতে কী বোঝায়?,"দাম বা আয়ের পরিবর্তনের ফলে চাহিদা বা যোগানের পরিমাণে যে মাত্রায় পরিবর্তন হয়, তার পরিমাপকে স্থিতিস্থাপকতা বলে।",Medium
52,সুযোগ ব্যয় (Opportunity Cost) কাকে বলে?,"একাধিক বিকল্প থেকে একটি নির্বাচন করার ফলে অন্য সেরা বিকল্পটি থেকে যে সুবিধা ত্যাগ করতে হয়, তাকে সুযোগ ব্যয় বলে।",Medium
53,ক্রমহ্রাসমান প্রান্তিক উপযোগ বিধিটি কী?,"ভোক্তা যখন কোনো একটি পণ্য ক্রমাগত ভোগ করতে থাকে, তখন ওই পণ্যের অতিরিক্ত একক থেকে প্রাপ্ত উপযোগ বা তৃপ্তি ক্রমান্বয়ে কমতে থাকে।",Medium
54,মুদ্রানীতি (Monetary Policy) কী এবং এটি কে পরিচালনা করে?,"দেশের মুদ্রাস্ফীতি নিয়ন্ত্রণ, ঋণের যোগান এবং অর্থনৈতিক স্থিতিশীলতা বজায় রাখার জন্য কেন্দ্রীয় ব্যাংক যে নীতি গ্রহণ করে, তাকে মুদ্রানীতি বলে।",Medium
55,রাজস্ব নীতি (Fiscal Policy) কী এবং এটি কে পরিচালনা করে?,"সরকার তার আয় (কর) এবং ব্যয় (উন্নয়নমূলক কাজ) সংক্রান্ত যে নীতি গ্রহণ করে, তাকে রাজস্ব নীতি বলে। এটি সাধারণত অর্থ মন্ত্রণালয় পরিচালনা করে।",Medium
56,ভারসাম্য দাম (Equilibrium Price) কীভাবে নির্ধারিত হয়?,"বাজারে কোনো পণ্যের চাহিদা এবং যোগান যখন সমান হয়, তখন যে দামে পণ্যটি কেনাবেচা হয়, তাকে ভারসাম্য দাম বলে।",Medium
57,অর্থনৈতিক উন্নয়ন ও প্রবৃদ্ধির মধ্যে পার্থক্য কী?,"অর্থনৈতিক প্রবৃদ্ধি শুধু জাতীয় আয় বৃদ্ধিকে বোঝায়, অন্যদিকে অর্থনৈতিক উন্নয়ন বলতে আয় বৃদ্ধির পাশাপাশি জনগণের জীবনযাত্রার মানের সামগ্রিক উন্নতিকে বোঝায়।",Medium
58,ব্যালেন্স অফ পেমেন্টস (Balance of Payments) কী?,একটি নির্দিষ্ট সময়ে একটি দেশের সাথে বিশ্বের অন্যান্য দেশের সকল প্রকার আর্থিক লেনদেনের হিসাবকে ব্যালেন্স অফ পেমেন্টস বা লেনদেনের ভারসাম্য বলে।,Medium
59,বাণিজ্য চক্র (Business Cycle) কী?,"অর্থনীতিতে পর্যায়ক্রমিকভাবে যে সমৃদ্ধি (expansion) এবং মন্দা (recession) আবর্তিত হয়, তাকে বাণিজ্য চক্র বলে।",Medium
60,তারল্য ফাঁদ (Liquidity Trap) বলতে কী বোঝায়?,"অর্থনীতিতে সুদের হার খুব কমে গেলে যখন মানুষ টাকা বিনিয়োগ না করে হাতে ধরে রাখতে চায়, তখন মুদ্রানীতি অকার্যকর হয়ে পড়ে। এই অবস্থাকে তারল্য ফাঁদ বলে।",Medium
61,স্ট্যাগফ্লেশন (Stagflation) কী?,"যখন অর্থনীতিতে একই সাথে মুদ্রাস্ফীতি (inflation) এবং বেকারত্ব (stagnation) উচ্চ হারে বিরাজ করে, সেই অবস্থাকে স্ট্যাগফ্লেশন বলে।",Medium
62,ফ্লোটিং এবং ফিক্সড বিনিময় হারের মধ্যে পার্থক্য কী?,"ফিক্সড বিনিময় হারে সরকার বা কেন্দ্রীয় ব্যাংক মুদ্রার মান নির্ধারণ করে দেয়, আর ফ্লোটিং বিনিময় হারে এটি বৈদেশিক মুদ্রার বাজারে চাহিদা ও যোগানের মাধ্যমে নির্ধারিত হয়।",Medium
63,অলিগোপলি (Oligopoly) বাজার কাকে বলে?,"যে বাজারে অল্প কয়েকজন বিক্রেতা থাকে এবং তারা বাজারকে উল্লেখযোগ্যভাবে প্রভাবিত করতে পারে, তাকে অলিগোপলি বাজার বলে। যেমন - মোবাইল ফোন অপারেটর।",Medium
64,বৈষম্যমূলক একচেটিয়া কারবার (Price Discrimination) কী?,"যখন একজন একচেটিয়া কারবারি একই পণ্য বিভিন্ন ক্রেতার কাছে বিভিন্ন দামে বিক্রয় করে, তাকে বৈষম্যমূলক একচেটিয়া কারবার বলে।",Medium
65,গিনি সহগ (Gini Coefficient) কী পরিমাপ করে?,গিনি সহগ একটি দেশের আয় বা সম্পদ বন্টনের বৈষম্য পরিমাপ করে। এর মান ০ থেকে ১ এর মধ্যে থাকে; ০ মানে পূর্ণ সমতা এবং ১ মানে পূর্ণ অসমতা।,Medium
66,মানব উন্নয়ন সূচক (Human Development Index - HDI) কী?,"জাতিসংঘের তৈরি এই সূচকটি একটি দেশের সামগ্রিক উন্নয়ন পরিমাপ করে, যা গড় আয়ু, শিক্ষা এবং মাথাপিছু আয়ের উপর ভিত্তি করে তৈরি।",Medium
67,মূল্য সংযোজন কর (VAT) কী?,"উৎপাদনের প্রতিটি স্তরে যে নতুন মূল্য সংযোজিত হয়, তার ওপর যে কর আরোপ করা হয়, তাকে মূল্য সংযোজন কর বা ভ্যাট বলে।",Medium
68,বাণিজ্য ঘাটতি (Trade Deficit) কেন হয়?,"যখন একটি দেশের মোট আমদানির আর্থিক মূল্য মোট রপ্তানির আর্থিক মূল্যের চেয়ে বেশি হয়, তখন বাণিজ্য ঘাটতি দেখা দেয়।",Medium
69,বিদেশী প্রত্যক্ষ বিনিয়োগ (FDI) বলতে কী বোঝায়?,"যখন কোনো বিদেশী কোম্পানি বা ব্যক্তি অন্য কোনো দেশে সরাসরি ব্যবসা স্থাপন বা বিদ্যমান ব্যবসায় বিনিয়োগ করে, তাকে বিদেশী প্রত্যক্ষ বিনিয়োগ বলে।",Medium
70,গাফেন দ্রব্য (Giffen Good) কী?,"গাফেন দ্রব্য এমন এক ধরনের নিকৃষ্ট পণ্য যার দাম কমলে চাহিদা কমে যায় এবং দাম বাড়লে চাহিদা বেড়ে যায়, যা সাধারণ চাহিদা বিধির ব্যতিক্রম।",Medium
71,উৎপাদন সম্ভাবনা রেখা (Production Possibility Curve - PPC) কী দেখায়?,"একটি নির্দিষ্ট পরিমাণ সম্পদ ও প্রযুক্তি ব্যবহার করে দুটি পণ্যের বিভিন্ন সংমিশ্রণ উৎপাদনের সম্ভাবনা যে রেখার মাধ্যমে দেখানো হয়, তাকে উৎপাদন সম্ভাবনা রেখা বলে।",Medium
72,পাবলিক গুডস (Public Goods) বা সরকারি পণ্যের বৈশিষ্ট্য কী?,"এসব পণ্য অ-প্রতিদ্বন্দ্বিতামূলক (non-rivalrous) এবং অ-বর্জনীয় (non-excludable) হয়। অর্থাৎ, একজন ভোগ করলে অন্যের ভোগে কমতি হয় না এবং কাউকে এর ভোগ থেকে বঞ্চিত করা যায় না (যেমন: রাস্তা, পার্ক)।",Medium
73,এক্সটার্নালিটি (Externality) বা বাহ্যিকতা কী?,"কোনো অর্থনৈতিক কাজের ফলে যখন তৃতীয় কোনো পক্ষ সুবিধা বা ক্ষতির সম্মুখীন হয়, যার জন্য সে কোনো অর্থ প্রদান বা গ্রহণ করে না, তখন তাকে বাহ্যিকতা বলে। (যেমন: দূষণ একটি নেতিবাচক বাহ্যিকতা)।",Medium
74,ফিলিপস রেখা (Phillips Curve) কোন দুটি বিষয়ের মধ্যে সম্পর্ক দেখায়?,ফিলিপস রেখা একটি দেশের মুদ্রাস্ফীতির হার এবং বেকারত্বের হারের মধ্যে বিপরীত সম্পর্ক দেখায়।,Medium
75,আন্তর্জাতিক মুদ্রা তহবিল (IMF) এর প্রধান কাজ কী?,সদস্য দেশগুলোকে লেনদেনের ভারসাম্যের ঘাটতি মোকাবেলায় ঋণ দেওয়া এবং বিশ্ব অর্থনীতির স্থিতিশীলতা নিশ্চিত করা।,Medium
76,বিশ্বব্যাংক (World Bank) এর প্রধান কাজ কী?,উন্নয়নশীল দেশগুলোকে দারিদ্র্য দূরীকরণ এবং উন্নয়নমূলক প্রকল্পের জন্য দীর্ঘমেয়াদী ঋণ ও প্রযুক্তিগত সহায়তা প্রদান করা।,Medium
77,অবমূল্যায়ন (Devaluation) এবং অবচয় (Depreciation) এর মধ্যে পার্থক্য কী?,"যখন সরকার নিজে মুদ্রার মান কমিয়ে দেয়, তাকে অবমূল্যায়ন বলে (ফিক্সড বিনিময় হারে)। আর যখন বাজারের চাহিদা ও যোগানের কারণে মুদ্রার মান কমে যায়, তাকে অবচয় বলে (ফ্লোটিং বিনিময় হারে)।",Medium
78,হেজিং (Hedging) কী?,ভবিষ্যতে কোনো সম্পদের দামের波动的 ঝুঁকি কমানোর জন্য গৃহীত বিনিয়োগ কৌশলকে হেজিং বলে।,Medium
79,বাণিজ্য উদারীকরণ (Trade Liberalization) বলতে কী বোঝায়?,"আন্তর্জাতিক বাণিজ্যকে উৎসাহিত করার জন্য আমদানি শুল্ক কমানো, কোটা তুলে দেওয়া এবং অন্যান্য বাণিজ্য বাধা দূর করার প্রক্রিয়াকে বাণিজ্য উদারীকরণ বলে।",Medium
80,অর্থনৈতিক অঞ্চলের (Economic Zone) উদ্দেশ্য কী?,"রপ্তানি বৃদ্ধি, বিদেশী বিনিয়োগ আকর্ষণ এবং কর্মসংস্থান সৃষ্টির লক্ষ্যে একটি দেশের অভ্যন্তরে বিশেষ সুযোগ-সুবিধা সম্বলিত এলাকাকে অর্থনৈতিক অঞ্চল বলা হয়।",Medium
81,উন্নয়নশীল দেশ বলতে কী বোঝায়?,"যেসব দেশের মাথাপিছু আয় কম, শিল্পায়ন প্রাথমিক পর্যায়ে এবং মানব উন্নয়ন সূচকে পিছিয়ে আছে, তাদের উন্নয়নশীল দেশ বলা হয়।",Medium
82,কাম্য জনসংখ্যা (Optimum Population) তত্ত্বটি কী?,"এই তত্ত্ব অনুযায়ী, যে পরিমাণ জনসংখ্যা থাকলে একটি দেশের মাথাপিছু আয় সর্বোচ্চ হয়, তাকে সেই দেশের কাম্য জনসংখ্যা বলে।",Medium
83,পরিমাণ তত্ত্ব (Quantity Theory of Money) এর মূল বক্তব্য কী?,"এই তত্ত্বের মূল কথা হলো, অর্থের যোগান বাড়লে পণ্যের দামস্তরও আনুপাতিক হারে বাড়ে, যদি অর্থের প্রচলন গতি এবং লেনদেনের পরিমাণ স্থির থাকে।",Medium
84,প্রান্তিক ভোগ প্রবণতা (Marginal Propensity to Consume - MPC) কী?,"আয়ের পরিবর্তনের ফলে ভোগের যে পরিবর্তন হয়, তার অনুপাতকে প্রান্তিক ভোগ প্রবণতা বলে।",Medium
85,গুণক (Multiplier) প্রক্রিয়াটি ব্যাখ্যা কর?,অর্থনীতিতে বিনিয়োগের পরিমাণ সামান্য বৃদ্ধি পেলে জাতীয় আয় তার চেয়ে কয়েকগুণ বেশি বৃদ্ধি পায়। এই প্রক্রিয়াকে গুণক প্রক্রিয়া বলে।,Medium
86,ইসলামী ব্যাংকিং প্রচলিত ব্যাংকিং থেকে কীভাবে আলাদা?,ইসলামী ব্যাংকিং সুদের পরিবর্তে লাভ-লোকসানের অংশীদারিত্বের ভিত্তিতে পরিচালিত হয় এবং শরীয়াহ অনুমোদিত খাতে বিনিয়োগ করে।,Medium
87,নগদ রিজার্ভ অনুপাত (Cash Reserve Ratio - CRR) কী?,"বাণিজ্যিক ব্যাংকগুলোকে তাদের মোট আমানতের একটি নির্দিষ্ট অংশ কেন্দ্রীয় ব্যাংকে নগদে জমা রাখতে হয়, যা নগদ রিজার্ভ অনুপাত নামে পরিচিত।",Medium
88,বাংলাদেশের অর্থনীতিতে তৈরি পোশাক (RMG) খাতের গুরুত্ব কী?,"এটি বাংলাদেশের সবচেয়ে বড় রপ্তানি খাত, যা প্রচুর বৈদেশিক মুদ্রা অর্জন করে এবং বিপুল সংখ্যক মানুষের, বিশেষ করে নারীদের কর্মসংস্থান সৃষ্টি করে।",Medium
89,বাংলাদেশের অর্থনীতিতে রেমিট্যান্সের প্রভাব কী?,"রেমিট্যান্স দেশের বৈদেশিক মুদ্রার রিজার্ভ বৃদ্ধি করে, গ্রামীণ অর্থনীতিকে সচল রাখে এবং মানুষের জীবনযাত্রার মান উন্নত করে।",Medium
90,এসইজেড (SEZ) এর পূর্ণরূপ কী এবং এর কাজ কী?,এসইজেড এর পূর্ণরূপ হলো বিশেষ অর্থনৈতিক অঞ্চল (Special Economic Zone)। এর কাজ হলো রপ্তানিমুখী শিল্প স্থাপন ও বিদেশী বিনিয়োগ আকর্ষণের মাধ্যমে অর্থনৈতিক প্রবৃদ্ধি ত্বরান্বিত করা।,Medium
91,রিকার্ডোর খাজনা তত্ত্বের মূল কথা কী?,"ডেভিড রিকার্ডোর মতে, জমির উর্বরতার পার্থক্যের কারণেই খাজনার উদ্ভব হয়। উর্বর জমি অনুর্বর জমির চেয়ে বেশি উৎপাদন দেয় বলে এর মালিক অতিরিক্ত খাজনা পায়।",Medium
92,লস অ্যাভারশন (Loss Aversion) ধারণাটি কী?,"আচরণগত অর্থনীতিতে, লস অ্যাভারশন হলো মানুষের সেই প্রবণতা যেখানে সমপরিমাণ লাভের আনন্দের চেয়ে সমপরিমাণ ক্ষতির কষ্ট অনেক বেশি অনুভূত হয়।",Medium
93,শুল্ক (Tariff) এবং কোটা (Quota) কীভাবে আমদানি নিয়ন্ত্রণ করে?,"শুল্ক হলো আমদানিকৃত পণ্যের উপর ধার্য কর, যা পণ্যের দাম বাড়িয়ে দেয়। আর কোটা হলো আমদানিকৃত পণ্যের পরিমাণ নির্দিষ্ট করে দেওয়া। উভয়ই আমদানি কমাতে সাহায্য করে।",Medium
94,তুলনামূলক সুবিধা তত্ত্ব (Comparative Advantage Theory) কী?,"ডেভিড রিকার্ডোর এই তত্ত্ব অনুযায়ী, কোনো দেশ যে পণ্যটি অন্য দেশের তুলনায় কম সুযোগ ব্যয়ে (কম খরচে) উৎপাদন করতে পারে, সেই পণ্যটি উৎপাদনে বিশেষীকরণ করে এবং রপ্তানি করে উভয় দেশই লাভবান হতে পারে।",Medium
95,নমনীয় উৎপাদন ব্যবস্থা (Flexible Production) কী?,"বাজারের চাহিদা অনুযায়ী দ্রুত পণ্যের ডিজাইন, পরিমাণ এবং ধরনে পরিবর্তন আনার সক্ষমতাকে নমনীয় উৎপাদন ব্যবস্থা বলে।",Medium
96,কর্পোরেট সামাজিক দায়বদ্ধতা (CSR) কী?,"একটি ব্যবসা প্রতিষ্ঠান তার কার্যক্রম পরিচালনার সময় সমাজ ও পরিবেশের প্রতি যে নৈতিক দায়িত্ব পালন করে, তাকে কর্পোরেট সামাজিক দায়বদ্ধতা বলে।",Medium
97,ডিজিটাল অর্থনীতি বলতে কী বোঝায়?,"ইন্টারনেট এবং ডিজিটাল প্রযুক্তির উপর ভিত্তি করে যে অর্থনৈতিক কার্যক্রম পরিচালিত হয় (যেমন- ই-কমার্স, অনলাইন ব্যাংকিং), তাকে ডিজিটাল অর্থনীতি বলে।",Medium
98,স্বল্পোন্নত দেশ (LDC) থেকে উত্তরণের জন্য বাংলাদেশের প্রধান শর্তগুলো কী ছিল?,"মাথাপিছু আয়, মানব সম্পদ সূচক এবং অর্থনৈতিক ভঙ্গুরতা সূচক - এই তিনটি শর্তের মধ্যে অন্তত দুটি পূরণ করতে হয়। বাংলাদেশ তিনটিই পূরণ করেছে।",Medium
